Domain,Description
filesaves[.]cloud,Black Alicanto-registered domain.
www[.]filesaves[.]cloud,Black Alicanto-registered domain.
doc[.]filesaves[.]cloud,Black Alicanto-registered domain.
gitdown[.]info,Black Alicanto-registered domain.
app[.]gitdown[.]info,Black Alicanto-registered domain.
cloudplus[.]one,Black Alicanto-registered domain.
drive[.]cloudplus[.]one,Black Alicanto-registered domain.
www[.]cloudplus[.]one,Black Alicanto-registered domain.
license[.]cloudplus[.]one,Black Alicanto-registered domain.
cloudmgmt[.]org,Black Alicanto-registered domain.
www[.]cloudmgmt[.]org,Black Alicanto-registered domain.
share[.]cloudmgmt[.]org,Black Alicanto-registered domain.
stablemarket[.]org,Black Alicanto-registered domain.
www[.]stablemarket[.]org,Black Alicanto-registered domain.
share[.]stablemarket[.]org,Black Alicanto-registered domain.
ledger-cloud[.]com,Black Alicanto-registered domain.
onedocshare[.]com,Black Alicanto-registered domain.
www[.]onedocshare[.]com,Black Alicanto-registered domain.
note[.]onedocshare[.]com,Black Alicanto-registered domain.
qa[.]onedocshare[.]com,Black Alicanto-registered domain.
onlinedocpage[.]org,Black Alicanto-registered domain.
www[.]onlinedocpage[.]org,Black Alicanto-registered domain.
link[.]onlinedocpage[.]org,Black Alicanto-registered domain.
basecloud[.]info,Black Alicanto-registered domain.
www[.]basecloud[.]info,Black Alicanto-registered domain.
gsheetpage[.]com,Black Alicanto-registered domain.
docs[.]gsheetpage[.]com,Black Alicanto-registered domain.
www[.]gsheetpage[.]com,Black Alicanto-registered domain.
wordonline[.]cloud,Black Alicanto-registered domain.
www[.]wordonline[.]cloud,Black Alicanto-registered domain.
cdn[.]wordonline[.]cloud,Black Alicanto-registered domain.
gdoc[.]wordonline[.]cloud,Black Alicanto-registered domain.
onlinedoc[.]dev,Black Alicanto-registered domain.
www[.]onlinedoc[.]dev,Black Alicanto-registered domain.
platform[.]onlinedoc[.]dev,Black Alicanto-registered domain.
osonlines[.]co,Black Alicanto-registered domain.
cop[.]osonlines[.]co,Black Alicanto-registered domain.
databackup[.]biz,Black Alicanto-registered domain.
www[.]databackup[.]biz,Black Alicanto-registered domain.
www[.]ww11[.]databackup[.]biz,Black Alicanto-registered domain.
download[.]databackup[.]biz,Black Alicanto-registered domain.
hosting[.]databackup[.]biz,Black Alicanto-registered domain.
settlement[.]databackup[.]biz,Black Alicanto-registered domain.
ww25[.]databackup[.]biz,Black Alicanto-registered domain.
gdocsdown[.]com,Black Alicanto-registered domain.
cloud[.]optvers[.]net,Black Alicanto-registered domain.
fsdriveshare[.]org,Black Alicanto-registered domain.
share[.]fsdriveshare[.]org,Black Alicanto-registered domain.
www[.]fsdriveshare[.]org,Black Alicanto-registered domain.
file[.]fsdriveshare[.]org,Black Alicanto-registered domain.
datacentre[.]center,Black Alicanto-registered domain.
www[.]datacentre[.]center,Black Alicanto-registered domain.
aixstore[.]info,Black Alicanto-registered domain.
www[.]aixstore[.]info,Black Alicanto-registered domain.
app[.]aixstore[.]info,Black Alicanto-registered domain.
elwoodasset[.]xyz,Black Alicanto-registered domain.
psharemanage[.]elwoodasset[.]xyz,Black Alicanto-registered domain.
www[.]elwoodasset[.]xyz,Black Alicanto-registered domain.
ssh[.]elwoodasset[.]xyz,Black Alicanto-registered domain.
googlesheetpage[.]org,Black Alicanto-registered domain.
open[.]googlesheetpage[.]org,Black Alicanto-registered domain.
www[.]pen[.]googlesheetpage[.]org,Black Alicanto-registered domain.
googlesheet[.]info,Black Alicanto-registered domain.
www[.]googlesheet[.]info,Black Alicanto-registered domain.
fclouddown[.]co,Black Alicanto-registered domain.
www[.]fclouddown[.]co,Black Alicanto-registered domain.
file[.]fclouddown[.]co,Black Alicanto-registered domain.
tresordocs[.]com,Black Alicanto-registered domain.
www[.]tresordocs[.]com,Black Alicanto-registered domain.
sheet[.]tresordocs[.]com,Black Alicanto-registered domain.
documentworkspace[.]io,Black Alicanto-registered domain.
www[.]documentworkspace[.]io,Black Alicanto-registered domain.
cdn[.]documentworkspace[.]io,Black Alicanto-registered domain.
pilotview[.]cloud,Black Alicanto-registered domain.
www[.]pilotview[.]cloud,Black Alicanto-registered domain.
support[.]pilotview[.]cloud,Black Alicanto-registered domain.
devprocloud[.]com,Black Alicanto-registered domain.
www[.]devprocloud[.]com,Black Alicanto-registered domain.
wiki[.]devprocloud[.]com,Black Alicanto-registered domain.
forum[.]devprocloud[.]com,Black Alicanto-registered domain.
pop[.]devprocloud[.]com,Black Alicanto-registered domain.
share[.]devprocloud[.]com,Black Alicanto-registered domain.
www[.]new[.]devprocloud[.]com,Black Alicanto-registered domain.
server[.]devprocloud[.]com,Black Alicanto-registered domain.
coresharedoc[.]club,Black Alicanto-registered domain.
www[.]coresharedoc[.]club,Black Alicanto-registered domain.
dcview[.]coresharedoc[.]club,Black Alicanto-registered domain.
cloud-share[.]org,Black Alicanto-registered domain.
drive[.]cloud-share[.]org,Black Alicanto-registered domain.
share[.]cloud-share[.]org,Black Alicanto-registered domain.
cms[.]cloud-share[.]org,Black Alicanto-registered domain.
www[.]cloud-share[.]org,Black Alicanto-registered domain.
full[.]cloud-share[.]org,Black Alicanto-registered domain.
bloomcloud[.]org,Black Alicanto-registered domain.
www[.]bloomcloud[.]org,Black Alicanto-registered domain.
share[.]bloomcloud[.]org,Black Alicanto-registered domain.
sharebusiness[.]xyz,Black Alicanto-registered domain.
www[.]sharebusiness[.]xyz,Black Alicanto-registered domain.
signverydn[.]sharebusiness[.]xyz,Black Alicanto-registered domain.
crypttrade[.]io,Black Alicanto-registered domain.
trade[.]crypttrade[.]io,Black Alicanto-registered domain.
client[.]crypttrade[.]io,Black Alicanto-registered domain.
datastorage[.]crypttrade[.]io,Black Alicanto-registered domain.
statementshare[.]com,Black Alicanto-registered domain.
sharedlnk[.]statementshare[.]com,Black Alicanto-registered domain.
es[.]statementshare[.]com,Black Alicanto-registered domain.
www[.]statementshare[.]com,Black Alicanto-registered domain.
ns2[.]statementshare[.]com,Black Alicanto-registered domain.
ns1[.]statementshare[.]com,Black Alicanto-registered domain.
webdisk[.]statementshare[.]com,Black Alicanto-registered domain.
mail[.]statementshare[.]com,Black Alicanto-registered domain.
onlinedocview[.]biz,Black Alicanto-registered domain.
www[.]onlinedocview[.]biz,Black Alicanto-registered domain.
cdn[.]onlinedocview[.]biz,Black Alicanto-registered domain.
edit[.]onlinedocview[.]biz,Black Alicanto-registered domain.
cloudmgmt[.]org,Black Alicanto-registered domain.
share[.]cloudmgmt[.]org,Black Alicanto-registered domain.
www[.]cloudmgmt[.]org,Black Alicanto-registered domain.
docusign[.]agency,Black Alicanto-registered domain.
www[.]docusign[.]agency,Black Alicanto-registered domain.
